118,al-Mustajiddat al-fikriyah fi nizam hukm al-khilafah al-rashidah Abu Bakr al-Siddiq wa `Umar ibn al-Khattab namudhajan / Qasim Kasar Husayn al-Janabi.- Details in Pendeta Discovery
119,al-Mutashabih al-lafzi fi al-Qur'an al-karim : dirasah muqaranah bayna al-Iskafi wa al-Ghirnati / Labib Muhammad Jubran Salih.- Details in Pendeta Discovery
120,al-Nashr li-fawa'id surah al-`Asr lil-Imam Muhammad ibn `Ali al-Shawkani (D 1250H) : dirasah wa tahqiq / Mohamed Hassan Saeed Ali.- Details in Pendeta Discovery
121,al-Naskh fi al-sunnah al-nabawiyah : dirasat al-ara' al-mu`asirah hawl al-tawfiq bayn zahir al-nusus wa-i`mal al-maqasid / Abdulkadir Usman Ismail- Details in Pendeta Discovery
122,al-Nifaq wa-afatuhu `ala al-mujtama`al-Islami al-mu`asir fi daw' al-Qur'an / Ahmed Ali Abdullah Maaodhah.- Details in Pendeta Discovery
123,al-Qasr bi-al-adawat fi al-Qur'an al-karim : dirasah ihsaiyah balaghah tafsiriyah / Muhammad Raja'i Ahmad al-Jabali.- Details in Pendeta Discovery
124,Al-Qira'at al-Mutawatirah dan kesannya terhadap pentafsiran al-Qur'an : kajian terhadap klitab Marah Labid li Kashf Ma'na al-Qur'an al-Majid karangan Nawawi al-Bantani tumpuan terhadap surah al-Baqarah / Sukhairu Sulaiman- Details in Pendeta Discovery
125,|al-Qira'at al-mutawatirah wa ta'thiratuha `ala al-mufassirin dirasah mukhtarah min Tafsir Radd al-Adhhan ila Ma`ani al-Qur'an, lil-Shaykh Abi Bakr Mahmud Jumi / Ibrahim Muhammad Fadl.- Details in Pendeta Discovery|
126,al-Qiyadah al-siyasiyah wa-dawruha fi mukafahat al-fasad al-idari fi al-manhaj al-Islami wa-al-hukm al-rashid al-mu`asir / Zafir ibn Hammud al-Shahri ; al-mushrif Dr. Suhaili Sarif.- Details in Pendeta Discovery
127,al-Rawat al-muttahimun bi-bid`ah wa-infirad al-Imam Muslim Rahimuh Allah bi-al-rawiyat `anhum fi sahihih : dirasat wa-takhrij / Zainab Faissal Msallati.- Details in Pendeta Discovery
